id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
307227,42,MissedShots,0.9030000305175782,0.43,0.060700394213199615,Sardar Azmoun,h,2774,OpenPlay,2019,Head,11028,Zenit St. Petersburg,FC Tambov,2,1,2019-07-14 16:00:00,Sebastián Driussi,Cross
307517,13,BlockedShot,0.8490000152587891,0.345,0.08547195047140121,Sardar Azmoun,a,2774,OpenPlay,2019,RightFoot,11038,PFC Sochi,Zenit St. Petersburg,0,2,2019-07-21 18:30:00,Sebastián Driussi,Pass
307520,29,Goal,0.885,0.5,0.7542753219604492,Sardar Azmoun,a,2774,Penalty,2019,RightFoot,11038,PFC Sochi,Zenit St. Petersburg,0,2,2019-07-21 18:30:00,,Standard
307535,75,MissedShots,0.9030000305175782,0.585,0.01415336038917303,Sardar Azmoun,a,2774,FromCorner,2019,Head,11038,PFC Sochi,Zenit St. Petersburg,0,2,2019-07-21 18:30:00,Douglas Santos,Aerial
307536,76,MissedShots,0.8930000305175781,0.515,0.09732011705636978,Sardar Azmoun,a,2774,OpenPlay,2019,Head,11038,PFC Sochi,Zenit St. Petersburg,0,2,2019-07-21 18:30:00,Douglas Santos,Cross
307666,0,Goal,0.9119999694824219,0.4179999923706055,0.382462739944458,Sardar Azmoun,a,2774,OpenPlay,2019,RightFoot,11043,FC Orenburg,Zenit St. Petersburg,0,2,2019-07-28 11:00:00,Artem Dzyuba,Pass
307667,3,MissedShots,0.9290000152587891,0.5670000076293945,0.05873948335647583,Sardar Azmoun,a,2774,OpenPlay,2019,Head,11043,FC Orenburg,Zenit St. Petersburg,0,2,2019-07-28 11:00:00,Aleksey Sutormin,Aerial
307669,19,ShotOnPost,0.905,0.38799999237060545,0.4295630156993866,Sardar Azmoun,a,2774,OpenPlay,2019,RightFoot,11043,FC Orenburg,Zenit St. Petersburg,0,2,2019-07-28 11:00:00,Magomed Ozdoev,TakeOn
307679,41,MissedShots,0.9530000305175781,0.5659999847412109,0.13649283349514008,Sardar Azmoun,a,2774,OpenPlay,2019,RightFoot,11043,FC Orenburg,Zenit St. Petersburg,0,2,2019-07-28 11:00:00,Douglas Santos,Cross
307883,8,SavedShot,0.915,0.45099998474121095,0.06893549859523773,Sardar Azmoun,h,2774,FromCorner,2019,Head,11050,Zenit St. Petersburg,FC Krasnodar,1,1,2019-08-03 19:30:00,Douglas Santos,Cross
307889,36,SavedShot,0.92,0.41200000762939454,0.02661884017288685,Sardar Azmoun,h,2774,SetPiece,2019,Head,11050,Zenit St. Petersburg,FC Krasnodar,1,1,2019-08-03 19:30:00,Douglas Santos,Aerial
307894,53,SavedShot,0.9219999694824219,0.6580000305175782,0.07053551822900772,Sardar Azmoun,h,2774,OpenPlay,2019,LeftFoot,11050,Zenit St. Petersburg,FC Krasnodar,1,1,2019-08-03 19:30:00,Artem Dzyuba,HeadPass
307898,64,BlockedShot,0.9569999694824218,0.5970000076293945,0.1338503062725067,Sardar Azmoun,h,2774,OpenPlay,2019,RightFoot,11050,Zenit St. Petersburg,FC Krasnodar,1,1,2019-08-03 19:30:00,Yuri Zhirkov,Pass
308184,44,MissedShots,0.955999984741211,0.4420000076293945,0.14300589263439178,Sardar Azmoun,a,2774,OpenPlay,2019,RightFoot,11057,Dinamo Moscow,Zenit St. Petersburg,0,2,2019-08-10 17:00:00,Sebastián Driussi,Cross
308188,53,SavedShot,0.935,0.6469999694824219,0.2994961142539978,Sardar Azmoun,a,2774,OpenPlay,2019,RightFoot,11057,Dinamo Moscow,Zenit St. Petersburg,0,2,2019-08-10 17:00:00,Douglas Santos,Pass
308191,69,MissedShots,0.9530000305175781,0.4490000152587891,0.4812460243701935,Sardar Azmoun,a,2774,OpenPlay,2019,RightFoot,11057,Dinamo Moscow,Zenit St. Petersburg,0,2,2019-08-10 17:00:00,Yuri Zhirkov,Cross
308194,76,BlockedShot,0.865,0.32799999237060545,0.06152915954589844,Sardar Azmoun,a,2774,OpenPlay,2019,RightFoot,11057,Dinamo Moscow,Zenit St. Petersburg,0,2,2019-08-10 17:00:00,,None
309188,20,MissedShots,0.9390000152587891,0.41700000762939454,0.29092246294021606,Sardar Azmoun,h,2774,OpenPlay,2019,Head,11066,Zenit St. Petersburg,FK Akhmat,0,0,2019-08-17 17:00:00,Emiliano Rigoni,Cross
