id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
311184,76,MissedShots,0.914000015,0.703000031,0.048941933,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11661,Chelsea,Leicester,1,1,18/08/19 16:30,James Maddison,Pass
312501,16,MissedShots,0.939000015,0.469000015,0.08149232,Jamie Vardy,a,755,OpenPlay,2019,Head,11665,Sheffield United,Leicester,1,2,24/08/19 15:00,Youri Tielemans,Aerial
312505,37,Goal,0.910999985,0.632000008,0.315424293,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11665,Sheffield United,Leicester,1,2,24/08/19 15:00,James Maddison,Throughball
315830,11,Goal,0.773000031,0.718000031,0.13221164,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11677,Leicester,Bournemouth,3,1,31/08/19 15:00,Ben Chilwell,Throughball
315835,25,SavedShot,0.806999969,0.248999996,0.02008084,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11677,Leicester,Bournemouth,3,1,31/08/19 15:00,Ricardo Pereira,Pass
315845,72,Goal,0.914000015,0.467000008,0.513584971,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11677,Leicester,Bournemouth,3,1,31/08/19 15:00,Youri Tielemans,Pass
320206,27,BlockedShot,0.929000015,0.671999969,0.077037588,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11694,Leicester,Tottenham,2,1,21/09/19 11:30,Ayoze PÌ©rez,Pass
320217,56,SavedShot,0.911999969,0.61,0.070437185,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11694,Leicester,Tottenham,2,1,21/09/19 11:30,,None
320221,72,MissedShots,0.903000031,0.312000008,0.116504833,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11694,Leicester,Tottenham,2,1,21/09/19 11:30,James Maddison,Throughball
323439,41,MissedShots,0.905,0.555,0.109229356,Jamie Vardy,h,755,OpenPlay,2019,Head,11710,Leicester,Newcastle United,5,0,29/09/19 15:30,Youri Tielemans,Cross
323441,49,MissedShots,0.906999969,0.507000008,0.056861002,Jamie Vardy,h,755,OpenPlay,2019,Head,11710,Leicester,Newcastle United,5,0,29/09/19 15:30,Ben Chilwell,Aerial
323442,53,Goal,0.939000015,0.708000031,0.059243415,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11710,Leicester,Newcastle United,5,0,29/09/19 15:30,Harvey Barnes,Chipped
323444,63,Goal,0.970999985,0.460999985,0.581400692,Jamie Vardy,h,755,OpenPlay,2019,Head,11710,Leicester,Newcastle United,5,0,29/09/19 15:30,Marc Albrighton,Chipped
325645,38,MissedShots,0.939000015,0.694000015,0.054926317,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11728,Leicester,Burnley,2,1,19/10/19 15:00,James Maddison,Pass
325647,44,Goal,0.933000031,0.494000015,0.063497059,Jamie Vardy,h,755,OpenPlay,2019,Head,11728,Leicester,Burnley,2,1,19/10/19 15:00,Harvey Barnes,Aerial
326840,32,MissedShots,0.738000031,0.545999985,0.046923377,Jamie Vardy,a,755,OpenPlay,2019,RightFoot,11740,Southampton,Leicester,0,9,25/10/19 20:00,,BallRecovery
326847,44,Goal,0.896999969,0.557000008,0.497079551,Jamie Vardy,a,755,OpenPlay,2019,RightFoot,11740,Southampton,Leicester,0,9,25/10/19 20:00,,TakeOn
326848,47,SavedShot,0.855999985,0.620999985,0.078497723,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11740,Southampton,Leicester,0,9,25/10/19 20:00,,BallRecovery
326851,57,Goal,0.951999969,0.512000008,0.596859217,Jamie Vardy,a,755,OpenPlay,2019,Head,11740,Southampton,Leicester,0,9,25/10/19 20:00,Ben Chilwell,Cross
326861,93,Goal,0.885,0.5,0.761168838,Jamie Vardy,a,755,Penalty,2019,RightFoot,11740,Southampton,Leicester,0,9,25/10/19 20:00,,Standard
329745,17,SavedShot,0.951999969,0.66,0.115385301,Jamie Vardy,a,755,OpenPlay,2019,RightFoot,11747,Crystal Palace,Leicester,0,2,03/11/19 14:00,James Maddison,Throughball
329766,87,Goal,0.88,0.539000015,0.123010226,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11747,Crystal Palace,Leicester,0,2,03/11/19 14:00,Demarai Gray,Pass
